,CallCountsPerHour,,,,,,,,,,,,,,,,
236,57,,,,,,,,,,,,,,,,
237,62,,,,,,,,,,,,,,,,
238,66,,,,,,,,,,,,,,,,
239,54,,,,,,,,,,,,,,,,
240,55,,,,,,,,,,,,,,,,
241,73,,,,,,,,,,,,,,,,
242,58,,,,,,,,,,,,,,,,
243,70,,,,,,,,,,,,,,,,
244,74,,,,,,,,,,,,,,,,
245,51,,,,,,,,,,,,,,,,
246,46,,,,,,,,,,,,,,,,
247,58,,,,,,,,,,,,,,,,
248,47,,,,,,,,,,,,,,,,
249,64,,,,,,,,,,,,,,,,
250,45,,,,,,,,,,,,,,,,
251,57,,,,,,,,,,,,,,,,
252,47,,,,,,,,,,,,,,,,
253,56,,,,,,,,,,,,,,,,
254,62,,,,,,,,,,,,,,,,
255,60,,,,,,,,,,,,,,,,
256,54,,,,,,,,,,,,,,,,
257,59,,,,,,,,,,,,,,,,
258,65,,,,,,,,,,,,,,,,
259,63,,,,,,,,,,,,,,,,
260,52,,,,,,,,,,,,,,,,
261,64,,,,,,,,,,,,,,,,
262,59,,,,,,,,,,,,,,,,
263,61,,,,,,,,,,,,,,,,
264,51,,,,,,,,,,,,,,,,
265,52,,,,,,,,,,,,,,,,
266,46,,,,,,,,,,,,,,,,
267,68,,,,,,,,,,,,,,,,
268,70,,,,,,,,,,,,,,,,
269,61,,,,,,,,,,,,,,,,
270,59,,,,,,,,,,,,,,,,
271,70,,,,,,,,,,,,,,,,
272,59,,,,,,,,,,,,,,,,
273,48,,,,,,,,,,,,,,,,
274,54,,,,,,,,,,,,,,,,
275,66,,,,,,,,,,,,,,,,
276,66,,,,,,,,,,,,,,,,
277,60,,,,,,,,,,,,,,,,
278,61,,,,,,,,,,,,,,,,
279,47,,,,,,,,,,,,,,,,
280,66,,,,,,,,,,,,,,,,
281,58,,,,,,,,,,,,,,,,
282,58,,,,,,,,,,,,,,,,
283,66,,,,,,,,,,,,,,,,
284,46,,,,,,,,,,,,,,,,
285,54,,,,,,,,,,,,,,,,
286,51,,,,,,,,,,,,,,,,
287,78,,,,,,,,,,,,,,,,
288,69,,,,,,,,,,,,,,,,
289,54,,,,,,,,,,,,,,,,
290,62,,,,,,,,,,,,,,,,
291,60,,,,,,,,,,,,,,,,
292,57,,,,,,,,,,,,,,,,
293,52,,,,,,,,,,,,,,,,
294,59,,,,,,,,,,,,,,,,
295,59,,,,,,,,,,,,,,,,
296,66,,,,,,,,,,,,,,,,
297,59,,,,,,,,,,,,,,,,
298,52,,,,,,,,,,,,,,,,
299,55,,,,,,,,,,,,,,,,
300,60,,,,,,,,,,,,,,,,
301,59,,,,,,,,,,,,,,,,
302,57,,,,,,,,,,,,,,,,
303,61,,,,,,,,,,,,,,,,
304,52,,,,,,,,,,,,,,,,
305,71,,,,,,,,,,,,,,,,
306,62,,,,,,,,,,,,,,,,
307,54,,,,,,,,,,,,,,,,
308,54,,,,,,,,,,,,,,,,
309,51,,,,,,,,,,,,,,,,
310,65,,,,,,,,,,,,,,,,
311,59,,,,,,,,,,,,,,,,
312,64,,,,,,,,,,,,,,,,
313,54,,,,,,,,,,,,,,,,
314,67,,,,,,,,,,,,,,,,
315,57,,,,,,,,,,,,,,,,
316,66,,,,,,,,,,,,,,,,
317,58,,,,,,,,,,,,,,,,
318,59,,,,,,,,,,,,,,,,
319,72,,,,,,,,,,,,,,,,
320,60,,,,,,,,,,,,,,,,
321,55,,,,,,,,,,,,,,,,
322,64,,,,,,,,,,,,,,,,
323,65,,,,,,,,,,,,,,,,
324,53,,,,,,,,,,,,,,,,
325,45,,,,,,,,,,,,,,,,
326,58,,,,,,,,,,,,,,,,
327,66,,,,,,,,,,,,,,,,
328,51,,,,,,,,,,,,,,,,
329,49,,,,,,,,,,,,,,,,
330,50,,,,,,,,,,,,,,,,
331,56,,,,,,,,,,,,,,,,
332,66,,,,,,,,,,,,,,,,
333,61,,,,,,,,,,,,,,,,
334,65,,,,,,,,,,,,,,,,
335,51,,,,,,,,,,,,,,,,
336,62,,,,,,,,,,,,,,,,
337,49,,,,,,,,,,,,,,,,
338,61,,,,,,,,,,,,,,,,
339,51,,,,,,,,,,,,,,,,
340,54,,,,,,,,,,,,,,,,
341,60,,,,,,,,,,,,,,,,
342,56,,,,,,,,,,,,,,,,
343,55,,,,,,,,,,,,,,,,
344,64,,,,,,,,,,,,,,,,
345,58,,,,,,,,,,,,,,,,
346,50,,,,,,,,,,,,,,,,
347,82,,,,,,,,,,,,,,,,
348,75,,,,,,,,,,,,,,,,
349,69,,,,,,,,,,,,,,,,
350,68,,,,,,,,,,,,,,,,
351,60,,,,,,,,,,,,,,,,
352,68,,,,,,,,,,,,,,,,
353,37,,,,,,,,,,,,,,,,
354,61,,,,,,,,,,,,,,,,
355,56,,,,,,,,,,,,,,,,
356,55,,,,,,,,,,,,,,,,
357,60,,,,,,,,,,,,,,,,
358,63,,,,,,,,,,,,,,,,
359,60,,,,,,,,,,,,,,,,
360,59,,,,,,,,,,,,,,,,
361,75,,,,,,,,,,,,,,,,
362,64,,,,,,,,,,,,,,,,
363,56,,,,,,,,,,,,,,,,
364,65,,,,,,,,,,,,,,,,
365,65,,,,,,,,,,,,,,,,
366,53,,,,,,,,,,,,,,,,
367,59,,,,,,,,,,,,,,,,
368,41,,,,,,,,,,,,,,,,
369,73,,,,,,,,,,,,,,,,
370,64,,,,,,,,,,,,,,,,
371,52,,,,,,,,,,,,,,,,
372,71,,,,,,,,,,,,,,,,
373,58,,,,,,,,,,,,,,,,
374,60,,,,,,,,,,,,,,,,
375,34,,,,,,,,,,,,,,,,
376,65,,,,,,,,,,,,,,,,
377,59,,,,,,,,,,,,,,,,
378,51,,,,,,,,,,,,,,,,
379,67,,,,,,,,,,,,,,,,
380,72,,,,,,,,,,,,,,,,
381,81,,,,,,,,,,,,,,,,
382,65,,,,,,,,,,,,,,,,
383,63,,,,,,,,,,,,,,,,
384,72,,,,,,,,,,,,,,,,
385,62,,,,,,,,,,,,,,,,
386,64,,,,,,,,,,,,,,,,
387,52,,,,,,,,,,,,,,,,
388,70,,,,,,,,,,,,,,,,
389,67,,,,,,,,,,,,,,,,
390,55,,,,,,,,,,,,,,,,
391,69,,,,,,,,,,,,,,,,
392,66,,,,,,,,,,,,,,,,
393,64,,,,,,,,,,,,,,,,
394,73,,,,,,,,,,,,,,,,
395,58,,,,,,,,,,,,,,,,
396,63,,,,,,,,,,,,,,,,
397,59,,,,,,,,,,,,,,,,
398,72,,,,,,,,,,,,,,,,
399,58,,,,,,,,,,,,,,,,
400,56,,,,,,,,,,,,,,,,
401,56,,,,,,,,,,,,,,,,
402,69,,,,,,,,,,,,,,,,
403,50,,,,,,,,,,,,,,,,
404,61,,,,,,,,,,,,,,,,
405,59,,,,,,,,,,,,,,,,
406,52,,,,,,,,,,,,,,,,
407,63,,,,,,,,,,,,,,,,
408,54,,,,,,,,,,,,,,,,
409,68,,,,,,,,,,,,,,,,
410,41,,,,,,,,,,,,,,,,
411,72,,,,,,,,,,,,,,,,
412,44,,,,,,,,,,,,,,,,
413,52,,,,,,,,,,,,,,,,
414,69,,,,,,,,,,,,,,,,
415,57,,,,,,,,,,,,,,,,
416,57,,,,,,,,,,,,,,,,
417,74,,,,,,,,,,,,,,,,
418,73,,,,,,,,,,,,,,,,
419,71,,,,,,,,,,,,,,,,
420,57,,,,,,,,,,,,,,,,
421,58,,,,,,,,,,,,,,,,
422,53,,,,,,,,,,,,,,,,
423,55,,,,,,,,,,,,,,,,
424,67,,,,,,,,,,,,,,,,
425,72,,,,,,,,,,,,,,,,
426,58,,,,,,,,,,,,,,,,
427,56,,,,,,,,,,,,,,,,
428,61,,,,,,,,,,,,,,,,
429,71,,,,,,,,,,,,,,,,
430,73,,,,,,,,,,,,,,,,
431,62,,,,,,,,,,,,,,,,
432,59,,,,,,,,,,,,,,,,
433,60,,,,,,,,,,,,,,,,
434,54,,,,,,,,,,,,,,,,
435,47,,,,,,,,,,,,,,,,
436,61,,,,,,,,,,,,,,,,
437,57,,,,,,,,,,,,,,,,
438,72,,,,,,,,,,,,,,,,
439,57,,,,,,,,,,,,,,,,
440,62,,,,,,,,,,,,,,,,
441,55,,,,,,,,,,,,,,,,
442,64,,,,,,,,,,,,,,,,
443,49,,,,,,,,,,,,,,,,
444,61,,,,,,,,,,,,,,,,
445,53,,,,,,,,,,,,,,,,
446,75,,,,,,,,,,,,,,,,
447,60,,,,,,,,,,,,,,,,
448,61,,,,,,,,,,,,,,,,
449,57,,,,,,,,,,,,,,,,
450,46,,,,,,,,,,,,,,,,
451,65,,,,,,,,,,,,,,,,
452,54,,,,,,,,,,,,,,,,
453,68,,,,,,,,,,,,,,,,
454,64,,,,,,,,,,,,,,,,
455,58,,,,,,,,,,,,,,,,
456,47,,,,,,,,,,,,,,,,
457,53,,,,,,,,,,,,,,,,
458,51,,,,,,,,,,,,,,,,
459,49,,,,,,,,,,,,,,,,
460,56,,,,,,,,,,,,,,,,
461,65,,,,,,,,,,,,,,,,
462,64,,,,,,,,,,,,,,,,
463,63,,,,,,,,,,,,,,,,
464,59,,,,,,,,,,,,,,,,
465,59,,,,,,,,,,,,,,,,
466,63,,,,,,,,,,,,,,,,
467,68,,,,,,,,,,,,,,,,
468,75,,,,,,,,,,,,,,,,
469,56,,,,,,,,,,,,,,,,
470,53,,,,,,,,,,,,,,,,
471,44,,,,,,,,,,,,,,,,
472,68,,,,,,,,,,,,,,,,
473,59,,,,,,,,,,,,,,,,
474,65,,,,,,,,,,,,,,,,
475,57,,,,,,,,,,,,,,,,
476,52,,,,,,,,,,,,,,,,
477,44,,,,,,,,,,,,,,,,
478,57,,,,,,,,,,,,,,,,
479,56,,,,,,,,,,,,,,,,
480,51,,,,,,,,,,,,,,,,
481,74,,,,,,,,,,,,,,,,
482,71,,,,,,,,,,,,,,,,
483,62,,,,,,,,,,,,,,,,
484,58,,,,,,,,,,,,,,,,
485,61,,,,,,,,,,,,,,,,
486,67,,,,,,,,,,,,,,,,
487,50,,,,,,,,,,,,,,,,
488,55,,,,,,,,,,,,,,,,
489,59,,,,,,,,,,,,,,,,
490,48,,,,,,,,,,,,,,,,
491,73,,,,,,,,,,,,,,,,
492,63,,,,,,,,,,,,,,,,
493,53,,,,,,,,,,,,,,,,
494,54,,,,,,,,,,,,,,,,
495,53,,,,,,,,,,,,,,,,
496,58,,,,,,,,,,,,,,,,
497,76,,,,,,,,,,,,,,,,
498,45,,,,,,,,,,,,,,,,
499,60,,,,,,,,,,,,,,,,
500,55,,,,,,,,,,,,,,,,
501,55,,,,,,,,,,,,,,,,
502,54,,,,,,,,,,,,,,,,
503,61,,,,,,,,,,,,,,,,
504,59,,,,,,,,,,,,,,,,
505,72,,,,,,,,,,,,,,,,
506,62,,,,,,,,,,,,,,,,
507,60,,,,,,,,,,,,,,,,
508,61,,,,,,,,,,,,,,,,
509,47,,,,,,,,,,,,,,,,
510,61,,,,,,,,,,,,,,,,
511,49,,,,,,,,,,,,,,,,
512,50,,,,,,,,,,,,,,,,
513,50,,,,,,,,,,,,,,,,
514,63,,,,,,,,,,,,,,,,
515,72,,,,,,,,,,,,,,,,
516,54,,,,,,,,,,,,,,,,
517,56,,,,,,,,,,,,,,,,
518,62,,,,,,,,,,,,,,,,
519,69,,,,,,,,,,,,,,,,
520,45,,,,,,,,,,,,,,,,
521,65,,,,,,,,,,,,,,,,
522,67,,,,,,,,,,,,,,,,
523,73,,,,,,,,,,,,,,,,
524,60,,,,,,,,,,,,,,,,
525,53,,,,,,,,,,,,,,,,
526,47,,,,,,,,,,,,,,,,
527,59,,,,,,,,,,,,,,,,
528,62,,,,,,,,,,,,,,,,
529,70,,,,,,,,,,,,,,,,
530,56,,,,,,,,,,,,,,,,
531,50,,,,,,,,,,,,,,,,
532,54,,,,,,,,,,,,,,,,
533,68,,,,,,,,,,,,,,,,
534,67,,,,,,,,,,,,,,,,
535,53,,,,,,,,,,,,,,,,
536,39,,,,,,,,,,,,,,,,
537,49,,,,,,,,,,,,,,,,
538,56,,,,,,,,,,,,,,,,
539,58,,,,,,,,,,,,,,,,
540,56,,,,,,,,,,,,,,,,
541,63,,,,,,,,,,,,,,,,
542,51,,,,,,,,,,,,,,,,
543,57,,,,,,,,,,,,,,,,
544,63,,,,,,,,,,,,,,,,
545,74,,,,,,,,,,,,,,,,
546,53,,,,,,,,,,,,,,,,
547,57,,,,,,,,,,,,,,,,
548,62,,,,,,,,,,,,,,,,
549,64,,,,,,,,,,,,,,,,
550,48,,,,,,,,,,,,,,,,
551,45,,,,,,,,,,,,,,,,
552,84,,,,,,,,,,,,,,,,
553,57,,,,,,,,,,,,,,,,
554,66,,,,,,,,,,,,,,,,
555,62,,,,,,,,,,,,,,,,
556,56,,,,,,,,,,,,,,,,
557,58,,,,,,,,,,,,,,,,
558,72,,,,,,,,,,,,,,,,
559,64,,,,,,,,,,,,,,,,
560,62,,,,,,,,,,,,,,,,
561,71,,,,,,,,,,,,,,,,
562,58,,,,,,,,,,,,,,,,
563,45,,,,,,,,,,,,,,,,
564,60,,,,,,,,,,,,,,,,
565,55,,,,,,,,,,,,,,,,
566,66,,,,,,,,,,,,,,,,
567,69,,,,,,,,,,,,,,,,
568,59,,,,,,,,,,,,,,,,
569,52,,,,,,,,,,,,,,,,
570,67,,,,,,,,,,,,,,,,
571,56,,,,,,,,,,,,,,,,
572,49,,,,,,,,,,,,,,,,
573,57,,,,,,,,,,,,,,,,
574,65,,,,,,,,,,,,,,,,
575,65,,,,,,,,,,,,,,,,
576,62,,,,,,,,,,,,,,,,
577,62,,,,,,,,,,,,,,,,
578,48,,,,,,,,,,,,,,,,
579,63,,,,,,,,,,,,,,,,
580,60,,,,,,,,,,,,,,,,
581,51,,,,,,,,,,,,,,,,
582,67,,,,,,,,,,,,,,,,
583,59,,,,,,,,,,,,,,,,
584,59,,,,,,,,,,,,,,,,
585,68,,,,,,,,,,,,,,,,
586,50,,,,,,,,,,,,,,,,
587,61,,,,,,,,,,,,,,,,
588,63,,,,,,,,,,,,,,,,
589,66,,,,,,,,,,,,,,,,
590,64,,,,,,,,,,,,,,,,
591,63,,,,,,,,,,,,,,,,
592,59,,,,,,,,,,,,,,,,
593,59,,,,,,,,,,,,,,,,
594,66,,,,,,,,,,,,,,,,
595,66,,,,,,,,,,,,,,,,
596,67,,,,,,,,,,,,,,,,
597,59,,,,,,,,,,,,,,,,
598,57,,,,,,,,,,,,,,,,
599,58,,,,,,,,,,,,,,,,
600,54,,,,,,,,,,,,,,,,
601,63,,,,,,,,,,,,,,,,
602,65,,,,,,,,,,,,,,,,
603,67,,,,,,,,,,,,,,,,
604,77,,,,,,,,,,,,,,,,
605,58,,,,,,,,,,,,,,,,
606,58,,,,,,,,,,,,,,,,
607,49,,,,,,,,,,,,,,,,
608,56,,,,,,,,,,,,,,,,
609,61,,,,,,,,,,,,,,,,
610,63,,,,,,,,,,,,,,,,
611,58,,,,,,,,,,,,,,,,
612,50,,,,,,,,,,,,,,,,
613,41,,,,,,,,,,,,,,,,
614,52,,,,,,,,,,,,,,,,
615,63,,,,,,,,,,,,,,,,
616,53,,,,,,,,,,,,,,,,
617,62,,,,,,,,,,,,,,,,
618,57,,,,,,,,,,,,,,,,
619,58,,,,,,,,,,,,,,,,
620,62,,,,,,,,,,,,,,,,
621,59,,,,,,,,,,,,,,,,
622,76,,,,,,,,,,,,,,,,
623,79,,,,,,,,,,,,,,,,
624,51,,,,,,,,,,,,,,,,
625,49,,,,,,,,,,,,,,,,
626,64,,,,,,,,,,,,,,,,
627,71,,,,,,,,,,,,,,,,
628,49,,,,,,,,,,,,,,,,
629,51,,,,,,,,,,,,,,,,
630,58,,,,,,,,,,,,,,,,
631,67,,,,,,,,,,,,,,,,
632,57,,,,,,,,,,,,,,,,
633,56,,,,,,,,,,,,,,,,
634,54,,,,,,,,,,,,,,,,
635,53,,,,,,,,,,,,,,,,
636,58,,,,,,,,,,,,,,,,
637,65,,,,,,,,,,,,,,,,
638,50,,,,,,,,,,,,,,,,
639,56,,,,,,,,,,,,,,,,
640,44,,,,,,,,,,,,,,,,
641,61,,,,,,,,,,,,,,,,
642,63,,,,,,,,,,,,,,,,
643,57,,,,,,,,,,,,,,,,
644,64,,,,,,,,,,,,,,,,
645,67,,,,,,,,,,,,,,,,
646,61,,,,,,,,,,,,,,,,
647,59,,,,,,,,,,,,,,,,
648,52,,,,,,,,,,,,,,,,
649,54,,,,,,,,,,,,,,,,
650,54,,,,,,,,,,,,,,,,
651,59,,,,,,,,,,,,,,,,
652,47,,,,,,,,,,,,,,,,
653,62,,,,,,,,,,,,,,,,
654,53,,,,,,,,,,,,,,,,
655,56,,,,,,,,,,,,,,,,
656,59,,,,,,,,,,,,,,,,
657,47,,,,,,,,,,,,,,,,
658,64,,,,,,,,,,,,,,,,
659,68,,,,,,,,,,,,,,,,
660,72,,,,,,,,,,,,,,,,
661,56,,,,,,,,,,,,,,,,
662,54,,,,,,,,,,,,,,,,
663,61,,,,,,,,,,,,,,,,
664,57,,,,,,,,,,,,,,,,
665,52,,,,,,,,,,,,,,,,
666,65,,,,,,,,,,,,,,,,
667,66,,,,,,,,,,,,,,,,
668,55,,,,,,,,,,,,,,,,
669,55,,,,,,,,,,,,,,,,
670,55,,,,,,,,,,,,,,,,
671,58,,,,,,,,,,,,,,,,
672,44,,,,,,,,,,,,,,,,
673,45,,,,,,,,,,,,,,,,
674,57,,,,,,,,,,,,,,,,
675,48,,,,,,,,,,,,,,,,
676,66,,,,,,,,,,,,,,,,
677,55,,,,,,,,,,,,,,,,
678,71,,,,,,,,,,,,,,,,
679,62,,,,,,,,,,,,,,,,
680,51,,,,,,,,,,,,,,,,
681,57,,,,,,,,,,,,,,,,
682,54,,,,,,,,,,,,,,,,
683,61,,,,,,,,,,,,,,,,
684,48,,,,,,,,,,,,,,,,
685,51,,,,,,,,,,,,,,,,
686,60,,,,,,,,,,,,,,,,
687,65,,,,,,,,,,,,,,,,
688,57,,,,,,,,,,,,,,,,
689,48,,,,,,,,,,,,,,,,
690,57,,,,,,,,,,,,,,,,
691,73,,,,,,,,,,,,,,,,
692,52,,,,,,,,,,,,,,,,
693,54,,,,,,,,,,,,,,,,
694,68,,,,,,,,,,,,,,,,
695,56,,,,,,,,,,,,,,,,
696,53,,,,,,,,,,,,,,,,
